Date,Open,High,Low,Close,Adj Close,Volume
1982-04-14,7.959652,7.975290,7.928376,7.944014,2.630348,606702
1982-04-15,7.944014,7.990928,7.881463,7.990928,2.645883,908854
1982-04-16,7.990928,8.006565,7.975290,7.990928,2.645883,2424410
1982-04-19,8.053479,8.116030,7.990928,8.069117,2.671770,1177434
1982-04-20,7.990928,8.069117,7.912738,7.944014,2.630348,666653
1982-04-21,7.944014,7.990928,7.897101,7.975290,2.640705,1332506
1982-04-22,8.053479,8.084754,8.022203,8.022203,2.656238,1218200
1982-04-23,8.116030,8.162944,8.053479,8.131668,2.692483,3083869
1982-04-26,8.225495,8.303684,8.131668,8.241133,2.728729,2139844
1982-04-27,8.241133,8.288046,8.194219,8.225495,2.723552,1627464
1982-04-28,8.178581,8.256771,8.100392,8.194219,2.713195,1398053
1982-04-29,8.069117,8.116030,8.006565,8.037841,2.661417,1768948
1982-04-30,8.053479,8.100392,8.006565,8.022203,2.656238,1563517
1982-05-03,8.053479,8.084754,8.006565,8.053479,2.666594,750584
1982-05-04,8.131668,8.209857,8.053479,8.194219,2.713195,1471592
1982-05-05,8.256771,8.288046,8.209857,8.241133,2.728729,1794527
1982-05-06,8.209857,8.272408,8.131668,8.162944,2.702839,2288522
1982-05-07,8.209857,8.256771,8.147306,8.162944,2.702839,2233367
1982-05-10,8.084754,8.147306,8.022203,8.022203,2.656238,1262964
1982-05-11,8.022203,8.069117,7.959652,8.006565,2.651061,1906435
1982-05-12,7.912738,8.006565,7.818912,7.928376,2.625170,2928796
1982-05-13,7.881463,7.928376,7.834549,7.865825,2.604460,1165444
1982-05-14,7.850187,7.865825,7.818912,7.834549,2.594105,850502
1982-05-17,7.771998,7.803274,7.740722,7.787636,2.578570,1812912
1982-05-18,7.771998,7.787636,7.740722,7.771998,2.573392,1128674
1982-05-19,7.803274,7.850187,7.756360,7.787636,2.578570,1743369
1982-05-20,7.803274,7.834549,7.756360,7.787636,2.578570,2053515
1982-05-21,7.818912,7.850187,7.771998,7.834549,2.594105,900861
1982-05-24,7.818912,7.850187,7.771998,7.834549,2.594105,1570711
1982-05-25,7.818912,7.881463,7.756360,7.756360,2.568215,1493974
1982-05-26,7.740722,7.771998,7.693809,7.771998,2.573392,1864870
1982-05-27,7.787636,7.818912,7.756360,7.787636,2.578570,917647
1982-05-28,7.756360,7.803274,7.709447,7.740722,2.563036,2016745
1982-06-01,7.740722,7.756360,7.725085,7.725085,2.557859,2301311
1982-06-02,7.740722,7.771998,7.709447,7.771998,2.573392,3182988
1982-06-03,7.646895,7.693809,7.599982,7.615620,2.556592,1774544
1982-06-04,7.631258,7.678171,7.568706,7.584344,2.546093,1489178
1982-06-07,7.553069,7.599982,7.506155,7.568706,2.540845,2513937
1982-06-08,7.599982,7.646895,7.553069,7.584344,2.546093,1841689
1982-06-09,7.584344,7.615620,7.553069,7.599982,2.551344,1944005
1982-06-10,7.599982,7.631258,7.553069,7.631258,2.561843,2822484
1982-06-11,7.740722,7.771998,7.693809,7.756360,2.603841,3646607
1982-06-14,7.678171,7.725085,7.631258,7.662533,2.572341,1807317
1982-06-15,7.631258,7.662533,7.599982,7.662533,2.572341,1517155
1982-06-16,7.693809,7.709447,7.662533,7.662533,2.572341,855298
1982-06-17,7.631258,7.678171,7.568706,7.599982,2.551344,1257368
1982-06-18,7.584344,7.615620,7.537431,7.568706,2.540845,1083111
1982-06-21,7.599982,7.662533,7.537431,7.599982,2.551344,1261365
1982-06-22,7.678171,7.771998,7.584344,7.756360,2.603841,1105493
1982-06-23,7.850187,7.959652,7.740722,7.834549,2.630089,2086288
1982-06-24,7.944014,7.990928,7.881463,7.912738,2.656337,1932014
1982-06-25,7.850187,7.897101,7.803274,7.803274,2.619591,1151055
1982-06-28,7.881463,7.975290,7.771998,7.928376,2.661587,1378868
1982-06-29,7.959652,8.022203,7.897101,7.975290,2.677335,2713773
1982-06-30,8.006565,8.037841,7.959652,7.959652,2.672086,3090264
1982-07-01,7.959652,7.990928,7.928376,7.944014,2.666837,1096700
1982-07-02,7.912738,7.959652,7.865825,7.944014,2.666837,2184607
1982-07-06,7.959652,8.053479,7.865825,8.053479,2.703586,1268559
1982-07-07,7.990928,8.022203,7.944014,7.944014,2.666837,1314921
1982-07-08,8.037841,8.100392,7.959652,8.100392,2.719333,2328489
1982-07-09,8.209857,8.272408,8.147306,8.241133,2.766579,4147796
1982-07-12,8.506976,8.569527,8.428787,8.569527,2.876824,1980774
1982-07-13,8.475700,8.522614,8.381873,8.460062,2.840076,3306886
1982-07-14,8.506976,8.569527,8.428787,8.569527,2.876824,1980774
1982-07-15,8.522614,8.585165,8.460062,8.522614,2.861076,2705779
1982-07-16,8.585165,8.694630,8.475700,8.678992,2.913571,2177413
1982-07-19,8.647716,8.741543,8.553889,8.600803,2.887323,2032732
1982-07-20,8.600803,8.647716,8.522614,8.600803,2.887323,1869666
1982-07-21,8.553889,8.647716,8.460062,8.506976,2.855825,2944783
1982-07-22,8.522614,8.569527,8.460062,8.475700,2.845326,1423632
1982-07-23,8.460062,8.506976,8.397511,8.428787,2.829577,1091904
1982-07-26,8.413149,8.491338,8.334960,8.428787,2.829577,1581902
1982-07-27,8.397511,8.491338,8.303684,8.303684,2.787580,3227751
1982-07-28,8.209857,8.303684,8.162944,8.241133,2.766579,2451588
1982-07-29,8.272408,8.303684,8.225495,8.272408,2.777081,2597868
1982-07-30,8.256771,8.303684,8.209857,8.225495,2.761331,1345296
1982-08-02,8.366235,8.444424,8.288046,8.413149,2.824326,1809715
1982-08-03,8.491338,8.553889,8.428787,8.444424,2.834826,3599446
